file_name,bearing_code,sample_rate,rotation_hz,normal,intensity,fault
35Hz12kN/Bearing1_1/1.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/2.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/3.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/4.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/5.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/6.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/7.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/8.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/9.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/10.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/11.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/12.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/13.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/14.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/15.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/16.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/17.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/18.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/19.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/20.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/21.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/22.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/23.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/24.csv,Bearing1_1,25600,35.0,True,0,Outer Race
35Hz12kN/Bearing1_1/25.csv,Bearing1_1,25600,35.0,True,0,Outer Race
